,text
977,"Emmanuel Macron le dit et le répète : il est à la fois pro-immigration et anti-assimilation. Il veut toujours plus d'étrangers et qu'ils soient toujours moins français. Il est favorable à la double peine pour notre identité. « leparisien_pol: «Une chance formidable pour la France» : Macron critique Zemmour sans le nommer sur sa vision de l’immigration
➡️ https://l.leparisien.fr/6kkr https://twitter.com/leparisien_pol/status/1490662299367088137/photo/1 — https://twitter.com/leparisien_pol/status/1490662299367088137 »"
19,"Ce matin, je me suis rendu à la Colline du crack : un enfer à ciel ouvert. Macron a oublié les Français qui vivaient ce cauchemar. Je ne les abandonnerai pas.
#ZemmourCollineDuCrack #Remigration https://twitter.com/ZemmourEric/status/1507450193427451904/video/1"
1616,"Il y a quelques jours, l’association « SOS Méditerranée » se félicitait d’avoir « rencontré plus de 50 000 élèves depuis 2015 ». Désolé, mais ce n’est pas à l’école de servir de propagande pour les complices des passeurs, des mafias et de la gauche immigrationiste !
#SaintQuentin"
2356,"C’est grâce à l’expérience de ma mère que j’ai pu comprendre la régression inouïe que les femmes subissent aujourd’hui dans des quartiers où une immigration de masse a importé une civilisation islamique si cruelle avec les femmes.
#ZemmourVillepinte #RECONQUETE https://twitter.com/ZemmourEric/status/1467819445427052548/video/1"
559,Merci à cet hôtelier pour son accueil à l’Auberge des Glières. Je serai aux côtés de cette filière qui a beaucoup souffert. https://twitter.com/ZemmourEric/status/1497625236040306699/photo/1
1353,"Avec moi, Salah Abdeslam ne sortira jamais de prison. Nous supprimerons le régime de réduction des peines. J’expulserai les délinquants étrangers, qui sont 15 000 dans nos prisons.
#BonjourChezVous
https://twitter.com/i/status/1486264410922434560/video/1"
367,"Je résume la politique de Mme Pécresse : elle ne s’engage qu’à renvoyer les clandestins, c’est-à-dire uniquement à respecter la loi. Mais elle ne touche pas à l’immigration légale et veut faire venir toujours plus d’immigrés pour le travail.
#ZemmourVsPecresse #FaceAFaceTF1LCI"
2340,"Les étrangers auront les droits que leurs contributions leur donnent. La solidarité nationale doit privilégier les Français. Nous devons être généreux avec les Français d’abord.
#BourdinDirect https://twitter.com/ZemmourEric/status/1468140155001184258/video/1"
725,"Les sympathisants de LR aiment passionnément la France. Quelle déconnexion avec leurs élites. « BenjaminCauchy: Aurelien PRADIE et les LR au conseil Régional d'Occitanie viennent de voter une subvention de 30 000 euro au profit de... #SosMediterranee. 

Comment croire qu'ils luttent contre l'immigration illégale en finançant ces passeurs institutionnels ? 

Vivement #Zemmour ! — https://twitter.com/BenjaminCauchy/status/1494640799845388290 »"
2378,"Je suis le seul à établir sans fausse pudeur le lien évident entre l'immigration venue de l’autre côté de la Méditerranée, et les menaces qui pèsent chaque jour davantage sur les femmes françaises, sur leur liberté et parfois sur leur vie.
#ZemmourVillepinte #RECONQUETE"
2041,"Loin des contradicteurs et des adversaires, j’ai pu me livrer comme rarement. Merci à cette famille pour son accueil et merci à @Livrenoirmedia de m’avoir permis de révéler ces dimensions jusqu’ici trop discrètes de notre campagne.

➡️ https://youtu.be/AcXB3GyB4qs « Livrenoirmedia: 🔴 Eric #Zemmour était mardi dans une ferme du Dauphiné, loin des médias. En exclusivité, Livre Noir était présent. 

👉 Découvrez notre reportage en immersion et un grand entretien du candidat au bord d'un bon feu : https://youtu.be/AcXB3GyB4qs https://twitter.com/Livrenoirmedia/status/1474124410235899912/photo/1 — https://twitter.com/Livrenoirmedia/status/1474124410235899912 »"
184,"Dès l'été de mon élection, je me rendrai au Maghreb. En commençant bien sûr par l'Algérie, j'entamerai une tournée pour remettre à plat nos relations et affirmer notre position : le respect, pas la repentance.

Ma tribune dans Le Figaro ⤵️

https://www.lefigaro.fr/vox/politique/eric-zemmour-60-ans-apres-je-mettrai-fin-aux-privileges-migratoires-de-l-algerie-20220319"
1757,"Ce qu'il faut à la France, c'est couper le désordre à la source : arrêt de l’immigration, fin de la justice-passoire, déchéance de la nationalité et expulsions."
234,"Je veux accueillir temporairement les réfugiés ukrainiens qui sont nos frères européens et chrétiens. Je ne veux pas que des immigrés africains profitent de cela, comme c’est déjà le cas.
#Elysee2022 #ZemmourVsMacron https://twitter.com/ZemmourEric/status/1504562806976397313/video/1"
68,"Vous devriez vous parler avec Marine Le Pen, car elle n'a pas l’air tout à fait d'accord ! Contre le Grand Remplacement, votez Zemmour le 10 avril. « pierrecheynet: Sonia Mabrouk à Marine Le Pen : -La notion de grand remplacement vous est complètement étrangère ?   -Complètement. #Elysée2022 #CNews — https://twitter.com/pierrecheynet/status/1507105771703742469 » https://twitter.com/ZemmourEric/status/1507131388545355788/photo/1"
259,"Vous voulez continuer dans la voie du grand remplacement ? Votez Macron. 

Vous voulez que la France reste la France ? Votez pour moi. « ObservatoireID: 🔍SPÉCIAL : BILAN MIGRATOIRE du quinquennat MACRON.

📊RECORD : 1 278 374 nouveaux 1ers titres de séjour attribués en 2017-2021 aux ressortissants non-européens. Source : @Interieur_Gouv.

▶️Détail complet sur notre site : https://observatoire-immigration.fr/immigration-2022/

📢Faites-le savoir : PARTAGEZ ! https://twitter.com/ObservatoireID/status/1504072094879043591/photo/1 — https://twitter.com/ObservatoireID/status/1504072094879043591 »"
27,"Vous n’en pouvez plus ? Je suis là pour ça, madame. Je ne vous abandonnerai pas.
#ZemmourCollineDuCrack #Remigration https://twitter.com/ZemmourEric/status/1507344170394042378/video/1"
498,"Je souhaite de tout cœur que Marion Maréchal me rejoigne. Je l’accueillerais les bras ouverts. C’est une femme remarquable et je serais ravi de l’avoir à mes côtés.
#DemandezLeProgramme
https://twitter.com/i/status/1499135116211331088/video/1"
126,"Ce matin sur le marché d'Aulnay-sous-Bois, comme partout en France, j'ai entendu sans cesse « on n'en peut plus ! ».

C'est pour ces témoignages que je veux la fermeté, le respect de notre identité et la remigration des étrangers criminels.
#AulnaySousBois https://twitter.com/ZemmourEric/status/1506283990310952972/photo/1"
